許可證字號,類別,中文品名,核可日期,申請商,證況,保健功效相關成分,保健功效,保健功效宣稱,警語,注意事項,網址
衛署健食字第A00032號,衛署健食字,養樂多活菌發酵乳,2003/01/21,養樂多股份有限公司,核可,代田乳酸菌 (Lactobacillus casei Shirota),胃腸功能改善,經人體食用研究結果：1.有助於增加腸內益生菌2.有助於減少腸內有害菌(Clostridium perfringens)3.有助於改善腸內細菌菌相,過敏原資訊：本產品含有牛奶。,1.請洽詢醫師或營養師有關飲用本品之意見。2.均衡的飲食及適當的運動為身體健康的基礎。3.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=29
衛署健食字第A00033號,衛署健食字,健康調和油 (暫停生產),2003/02/11,台灣第一生化科技股份有限公司,核可,油酸、 亞麻油酸、 次亞麻油酸,調節血脂功能,經動物實驗結果，有助於降低血清中三酸甘油酯。,1.三少（少鹽、少糖、少油）的飲食原則，有助身體健康。2.本品為一般調合油，係供調理使用；非為膳食補充品，不宜直接食用。3.請依使用方式及建議攝取量調理，多食無益。,1.低溫可能造成油脂變白或混濁，在室溫時便可恢復，該現象非產品的品質變化，請安心食用。2.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。3.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=30
衛署健食字第A00034號,衛署健食字,洛神花保健膠囊,2003/03/20,愛健生命科學股份有限公司(95/8/11核准將許可證由寰生公司轉移給愛健),核可,類黃酮素、多酚酸、花青素,"調節血脂, 護肝",(一)經動物實驗結果:可降低血中三酸甘油酯。(二)經動物試驗結果，對四氯化碳誘發大鼠肝臟損傷可降低血清中GOT、GPT值。,,●請洽詢醫師或營養師有關食用本品之意見。●均衡飲食及適當運動為身體健康之基礎。●食用前開封，如發現包裝破損或任何品質異常，請將整瓶產品交回公司更換新品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=31
衛署健食字第A00035號(本證失效),衛署健食字,如新華茂超級靈芝,2003/04/15,美商如新華茂股份有限公司台灣分公司,併証,靈芝三帖類、 靈芝多醣體,免疫調節,(1)根據動物及體外試驗結果顯示具有下列功效： 1.有助於促進抗體生成。 2.有助於促進免疫細胞增生能力。 3.有助於調節T細胞功能。 (2)根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損 傷，具有下列功效：有助於降低血清中GPT和GOT 值。」,,●請小心存放，避免兒童自行取用，若正值懷孕、授乳、服用藥物者，請洽詢醫師意見，再決定是否食用。●如發現包裝破損或品質異常，請將整瓶產品交由直銷商送回公司更換新品。●請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=32
衛署健食字第A00036號(本證失效),衛署健食字,維力康膠囊,2003/05/15,震達科技股份有限公司,核可,甘草素,,根據動物試驗結果： 對四氯化碳誘發大鼠肝臟損傷可能具有降低血清GOT、GPT值。,1.GOT、GTP持續異常升高可能是肝病變所引起，應立即就醫。2.本品含甘草素，可能會與藥物產生交互作用，需服用其他藥物時，應請教醫師或藥師。3.本產品請勿長期或大量食用。4.孕婦忌食。,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=33
衛署健食字第A00037號(本證失效),衛署健食字,林鳳營健康點優酪乳 原味,2003/06/20,味全食品工業股份有限公司,失效,總乳酸菌（包含Streptococcus thermophilus、Lactobacillus delbrueckii subsp. bulgaricus、Lactobacillus acidophilus、Bifidobacterium longum）,胃腸功能改善,「(1)有助於增加腸內益生菌。 (2)有助於減少腸內害菌(Clostridium perfringens)。」,,1.請洽詢醫師或營養師食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。2.依建議攝取量所含精緻糖24.63公克，請注意熱量攝取。3.本產品含牛奶可能導致過敏症狀，對牛奶及其製品過敏者不宜使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=34
衛署健食字第A00038號(本證失效),衛署健食字,可果美100％蕃茄汁（無添加食鹽）,2003/08/08,臺灣可果美股份有限公司,失效,蕃茄汁（品質管制指標：苯萃取物指標值）,調節血脂,經動物實驗證實，有助於降低血清中三酸甘油酯含量。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=35
衛署健食字第A00039號,衛署健食字,高鈣低脂三益菌全家奶粉,2003/08/20,佳格食品股份有限公司,核可,乳酸桿菌（含Lactobacillus acidophilus 與Lactobacillus paracasei）、 比菲德氏菌（Bifidobacterium lactis）,胃腸功能改善,有助於 1.增加腸內益菌。 2.減少腸內害菌（Clostridium perfringens）。 3.改善腸內細菌菌相。,本產品含菊糖，食用後可能產生脹氣及排氣等現象，若有不適者，請停止食用。,1.請洽詢醫師或營養師有關食用本產品之意見；均衡的飲食及適當的運動為身體健康的基礎。2.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=36
衛署健食字第A00040號,衛署健食字,微庫醇紅麴膠囊,2003/11/18,生達化學製藥股份有限公司,核可,HMG-COA還原酵素抑制劑-Monacolin K,調節血脂,經動物實驗結果：1.有助於降低血中總膽固醇2.有助於降低血中低密度脂蛋白膽固醇3.有助於降低血中三酸甘油酯,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。 4.懷孕及授乳期間請勿食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=37
衛署健食字第A00041號(本證失效),衛署健食字,奧利多纖維飲料,2004/02/05,金車股份有限公司,失效,難消化性麥芽糊精,胃腸功能改善,本產品 1.有助於促進腸道運動。 2.有助於增加排便量。,無,請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。「本產品供保健用，請依建議攝取量食用。」「本品依每日建議攝取量240毫升，所含外加精緻糖量達19.2公克，請注意熱量攝取」「本產品其生產線同時有生產大豆、麩質及乳製品，食物過敏者請留意」,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=38
衛署健食字第A00042號,衛署健食字,TCELL-1乳酸菌粉,2004/02/20,鼎健生物科技食品股份有限公司,核可,Lactobacillus rhamnosus Tcell-1,胃腸功能改善,本產品有助於增加腸內益生菌。,,請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=39
衛署健食字第A00043號,衛署健食字,葡萄王靈芝王,2004/02/25,葡萄王生技股份有限公司,核可,靈芝粗多醣體,免疫調節,根據動物試驗結果具有下列功效：(1)有助於促進抗體生成。(2)有助於調節T細胞功能。(3)有助於促進自然殺手細胞活性。,無。,1.請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當之運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.含大豆及麩質之穀物製品。5.本產品使用之菌絲體皆為液態培養，子實體皆為固態培養。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=40
衛署健食字第A00044號,衛署健食字,甘蔗原素錠POLICOSANOL,2004/03/01,悅寶生物科技股份有限公司,核可,甘蔗原素(Sugar Cane Policosanol),調節血脂,本產品1.有助於降低血液中總膽固醇。2.有助於降低血液中低密度脂蛋白膽固醇。3.有助於增加血液中高密度脂蛋白膽固醇。4.有助於延緩血液中低密度脂蛋白（LDL）之氧化。5.有助於減少發生動脈粥狀硬化之危險因子。,"1.本品含甘蔗原素,食用本品前或需服用其他藥物時,請先洽醫師或營養師之意見。2.孕婦,授乳婦女及十二歲以下之兒童不宜食用。3.均衡的飲食及適當的運動為身體健康之基礎。",1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=41
衛署健食字第A00045號,衛署健食字,順康500香菇菌絲體萃取物,2004/03/15,宗信燦股份有限公司,核可,香菇菌絲體萃取物 （品質管制指標成分：木質素）,護肝,根據動物試驗結果，對四氯化碳誘發大鼠肝臟的損傷可降低血清GOT、GPT值。,本產品含有乳糖 (牛奶製品),請洽詢醫師或營養師有關食用本產品之意見。均衡的飲食及適當的運動為身體健康之基礎。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=42
衛署健食字第A00046號(本證失效),衛署健食字,洛神花保健膠囊,2004/04/05,愛健生命科學股份有限公司(95/8/11核准將許可證由寰生公司轉移給愛健),併証,類黃酮素、總多酚、花青素,調節血脂,(一)經動物實驗證實:可降低血中三酸甘油酯。 (二)根據動物試驗結果，對四氯化碳誘發大鼠肝臟損傷可降低血清中GOT、GPT值。,,●請洽詢醫師或營養師有關食用本品之意見。●均衡飲食及適當運動為身體健康之基礎。●食用前開封，如發現包裝破損或任何品質異常，請將整瓶產品交回公司更換新品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=43
衛署健食字第A00047號(本證失效),衛署健食字,益品年食用油,2004/07/18,花王(台灣)股份有限公司,失效,二酸甘油酯,"調節血脂, 不易形成體脂肪",減少餐後血中中性脂肪(三酸甘油酯)的上升。較不易形成體脂肪。,1.三少（少鹽、少糖、少油）的飲食原則，有助身體健康。2.本品為一般食用油，係供調理使用，非為膳食補充品，不宜直接食用。3.請依使用方式及建議攝取量調理，多食無益。,●油加熱過度會產生濃煙甚至燃燒。加溫時請小心爐火，欲離開時請關閉火源。本品的引火點溫度比一般食用油約低20度(一般食用油約350度)。●加溫時的油，若不慎滲入水氣，會有噴油及灼傷情形，請小心。●低溫時會有白色混著、凝結情形，室溫下即可回復，無品質之顧慮請安心使用。●請洽詢醫師或營養師食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=44
衛署健食字第A00048號,衛署健食字,立康生醫益菌多顆粒,2004/09/17,生展生物科技股份有限公司,核可,龍根雙歧桿菌(Bifidobacterium longum)、有胞子性乳酸菌(Lactobacillus sporogenes),胃腸功能改善,有助於增加腸內益生菌。,,1. 請勿以40℃以上之熱開水沖泡。2. 請洽詢醫師、藥師或營養師食用本產品之意見。3. 均衡飲食及適當運動為身體健康基礎。4. 本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=45
衛署健食字第A00049號,衛署健食字,悅寶甘蔗原素錠10mg,2004/10/01,悅寶生物科技股份有限公司,核可,甘蔗原素(Sugar Cane Policosanol),調節血脂,經人體食用研究結果:1.有助於降低血液中總膽固醇。2.有助於降低血液中低密度脂蛋白膽固醇。3.有助於增加血液中高密度脂蛋白膽固醇。4.有助於延緩血液中低密度脂蛋白(LDL)之氧化。5.有助於減少發生動脈粥狀硬化之危險因子。,"1.本品含甘蔗原素,食用本品前或需服用其他藥物時,請先洽詢醫師及營養師之意見。2.孕婦、授乳婦女及十二歲以下之兒童不宜食用。3.均衡的飲食及適當的運動為身體健康之基礎。4.本產品含有乳糖，不適合對其過敏者食用。",請依建議攝取量食用，勿過量。本產品非藥品，供保健用，罹病者仍需就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=46
衛署健食字第A00050號(本證失效),衛署健食字,得意的一天健康三益葵花油,2004/11/12,佳格食品股份有限公司,失效,單元不飽和脂肪酸。,調節血脂,經動物實驗證實： 1.有助於降低血清中三酸甘油酯。 2.可延緩血清中低密度脂蛋白氧 化。 3.可減少發生動脈粥狀硬化的危險因子。,1.三少（少鹽、少糖、少油）的飲食原則，有助身體健康。2.本品為一般食用油，係供調理使用，非為膳食補充品，不宜直接食用。3.請依使用方式及建議攝取量調理，多食無益。,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=47
衛署健食字第A00051號(本證失效),衛署健食字,加特福GT&F奶粉,2004/12/03,加特福生物科技股份有限公司,失效,三價鉻,調節血糖,對禁食血糖值偏高者，有助於降低禁食血糖值,1.本產品並非治療及矯正疾病的藥品。 2.糖尿病病患仍須就醫治療。 3.每日乙包，多食無益。 4.對牛乳過敏者或未滿十八歲者不建議使用。,乳糖不耐者請遵循醫事人員建議使用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=164
衛署健食字第A00052號,衛署健食字,統一陽光低糖高纖豆漿,2005/01/07,統一企業股份有限公司,核可,每100 毫升含 (1)黃豆蛋白質：3.0~3.8 公克、(2)菊苣纖維：1.7~2.3 公克,調節血脂,經人體食用研究結果：(1)有助於降低血中總膽固醇。 (2)有助於增加血中高密度脂蛋白膽固醇。 (3)有助於減少發生心血管疾病的危險因子。,痛風及腎臟病人請洽詢醫師或營養師有關食用本品之意見。,本產品供保健用，請依建議攝取量食用。均衡的飲食及適當的運動為身體健康之基礎；本品含有菊苣纖維，飲用後會促進腸道蠕動，若有脹氣不適者請停止飲用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=48
衛署健食字第A00053號,衛署健食字,威望常寶寧(飲品),2004/12/31,維達股份有限公司,核可,嗜乳酸桿菌及保加利亞乳酸桿菌(lactobacillius acidophilus & lactobacillus bulgaricus)、雙岐雙叉桿菌及龍根菌(bifidobacterium bifidum & bifidobacterium longum)、嗜熱性鏈球菌(streptococcus thermophilus),胃腸功能改善,經動物實驗結果：有助於增加腸內益生菌,無,本產品供保健用，請依建議攝取量食用。本產品含大豆製品。請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康的基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=49
衛署健食字第A00054號(本證失效),衛署健食字,黑松LGG優酪乳（原味）,2005/01/25,黑松股份有限公司,失效,LGG菌（Lactobacillus rhamnosus GG）、B菌（Bifidobacterium bifidum）,胃腸功能改善,有助於增加腸內益生菌。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=50
衛署健食字第A00062號,衛署健食字,養生液,2005/04/20,中天生物科技股份有限公司,核可,大豆發酵液（以Daidzein及乳酸為品管指標成分）,"調節血脂, 免疫調節, 胃腸功能改善",(1)胃腸功能改善經人體食用研究結果，有助於增加腸內益生菌(2)調節血脂經人體食用研究結果，有助於延緩血中低密度脂蛋白氧化(3)免疫調節經動物及體外試驗結果：1.有助於促進脾臟細胞增生2.有助於促進自然殺手細胞活性,1.請依建議量食用，食用過量可能會造成短暫間歇流涎現象。2.若正值懷孕、授乳或服用藥物等情況，請先洽詢醫師意見再決定是否食用。,1.請洽詢醫師或營養師有關食用本品之意見；均衡飲食及適當運動為身體健康之基礎。2.本品為天然發酵之高倍濃縮液，若於瓶口或瓶底產生黑色固狀結晶之現象，請取出後以熱水沖泡即可飲用。3.飲用時滴管請勿接觸到水，並避免將水滲入瓶中。4.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=57
衛署健食字第A00063號,衛署健食字,白蘭氏鷄精,2005/04/21,馬來西亞商三得利食品飲料股份有限公司台灣分公司,核可,1.每68 毫升，以總支鏈胺基酸「白胺酸、異白胺酸、纈胺酸」為指標成分：0.38~0.58 公克。2.每41 毫升，以總支鏈胺基酸「白胺酸、異白胺酸、纈胺酸」為指標成分：0.23~0.35 公克。,"免疫調節, 抗疲勞",抗疲勞：經人體食用研究結果：可加速運動後恢復期血乳酸及血氨濃度下降，有助於增進運動後疲勞的消除。免疫調節：本產品經動物實驗結果：(1)有助於促進免疫細胞增生功能。(2)有助於促進吞噬細胞活性。(3)有助於促進自然殺手細胞活性。,1.如有特殊體質，請向專業人士諮詢。2.支鏈有機酸尿症(遺傳性疾病，例如：楓糖尿症)患者，應避免食用。3.有過敏或自體免疫疾病者，請諮詢醫師建議後使用。4.本產品不能治療、矯正任何疾病，有病者仍需就醫。,1.開瓶後，請立即飲完。2.請勿直接將雞精瓶置入微波爐中加熱。3.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎，請依個人體質酌量使用。4.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=58
衛署健食字第A00064號(本證失效),衛署健食字,田中寶養生液,2005/06/10,中天生物科技股份有限公司,併証,大豆發酵液（以Daidzein及果寡糖nystose為品管指標成分）,"調節血脂, 免疫調節, 胃腸功能改善",(一)有助於增加腸內益生菌。 (二)有助於延緩血中低密度脂蛋白氧化。 (三)根據動物及體外試驗結果顯示具有下列功效： 1.可促進脾臟細胞增生。 2.可促進自然殺手細胞活性。,1.請依建議量食用，食用過量可能造成短暫間歇流涎現象。2.若正值懷孕、服用藥物或授乳等情形，請先洽詢醫師意見再決定是否服用。,1.請洽詢醫師或營養師食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。2.本品為天然發酵之高被濃縮液，若於瓶口或瓶底產生黑色固狀結晶之現象，請取出後以熱水沖泡即可飲用。3.飲用時滴管請勿接觸到水，並避免將水滲入瓶中。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=59
衛署健食字第A00065號,衛署健食字,統一活力寶典特級蜂膠,2008/07/17,統一企業股份有限公司,核可,"總類黃酮(以chrysin , pinocembrin為品質指標成分)chrysin：4.8-7.2mg/份pinocembrin：2.4-4.5mg/份",免疫調節,經動物實驗結果，食用本產品有助於1.促進免疫細胞增生能力2.促進吞噬細胞活性,嬰兒、孕婦及對蜂膠產品過敏者不宜使用；如欲使用者，請先諮詢醫師或營養師之建議。,1.本產品非藥品，供保健用，罹病者仍需就醫2.請依建議攝取量食用，勿過量3.均衡的飲食及適當的運動，是維持健康的基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1468
衛署健食字第A00071號,衛署健食字,紅麴養生穀粉,2005/10/01,佳格食品股份有限公司,核可,每一份量30 g：含HMG-CoA 還原酵素抑制劑（Monacolin K）4.8毫克。,調節血脂,經動物實驗結果：1) 有助於降低血中三酸甘油酯。2) 有助於降低血中低密度脂蛋白膽固醇。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.本產品不得替代藥品使用。3.懷孕及授乳期間請勿食用。4.是否適用於膽固醇之控制，應先諮詢醫師。5.本品與降血脂藥 (statin及fibrate類藥物 )、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1. 請洽詢醫師、藥師或營養師有關於食用本產品之意見；均衡的飲食及適當運動為身體健康基礎。2. 本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=66
衛署健食字第A00072號(本證失效),衛署健食字,賜多利奶粉,2005/10/18,連法國際實業股份有限公司,併証,總免疫球蛋白G、 特定免疫球蛋白G,調節血脂,1.可降低血中總膽固醇。 2.可降低血中低密度脂蛋白膽固醇。 3.可減少動脈硬化之危險因子。,對牛乳過敏者不適用。乳糖不耐者請遵詢專業醫事人員建議飲用。輕微乳糖不耐者可每次減量飲用，待適應後再逐漸增量。,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=67
